RomName,Console,FileSize,FileType,LocationUrl,DownloadUrl,DateFirstAdded, DateLastUpdated,FlagDownload,PreviouslyDownloaded,Rating,LocalPath,Notes
10-Yard Fight,Nintendo,16 KB,fType,https://vimm.net/vault/3,https://download2.vimm.net/download/?mediaId=3,dateF,dateL,False,False,rate,lPath,blah
100 World Story The: The Tales on a Watery Wilderness,Nintendo,122 KB,fType,https://vimm.net/vault/1,https://download2.vimm.net/download/?mediaId=1,dateF,dateL,False,False,rate,lPath,blah
1942,Nintendo,25 KB,fType,https://vimm.net/vault/4,https://download2.vimm.net/download/?mediaId=4,dateF,dateL,False,False,rate,lPath,blah
1943: The Battle of Midway,Nintendo,79 KB,fType,https://vimm.net/vault/5,https://download2.vimm.net/download/?mediaId=5,dateF,dateL,False,False,rate,lPath,blah
3-D Battles of World Runner 2 The,Nintendo,58 KB,fType,https://vimm.net/vault/4401,https://download2.vimm.net/download/?mediaId=4401,dateF,dateL,False,False,rate,lPath,blah
3-D WorldRunner,Nintendo,47 KB,fType,https://vimm.net/vault/6,https://download2.vimm.net/download/?mediaId=6,dateF,dateL,False,False,rate,lPath,blah
720 Degrees,Nintendo,73 KB,fType,https://vimm.net/vault/8,https://download2.vimm.net/download/?mediaId=8,dateF,dateL,False,False,rate,lPath,blah
8 Eyes,Nintendo,91 KB,fType,https://vimm.net/vault/9,https://download2.vimm.net/download/?mediaId=9,dateF,dateL,False,False,rate,lPath,blah
Abadox: The Deadly Inner War,Nintendo,132 KB,fType,https://vimm.net/vault/10,https://download2.vimm.net/download/?mediaId=10,dateF,dateL,False,False,rate,lPath,blah
Action 52,Nintendo,783 KB,fType,https://vimm.net/vault/12,https://download2.vimm.net/download/?mediaId=12,dateF,dateL,False,False,rate,lPath,blah
Addams Family The,Nintendo,116 KB,fType,https://vimm.net/vault/13,https://download2.vimm.net/download/?mediaId=13,dateF,dateL,False,False,rate,lPath,blah
Addams Family The: Pugsley's Scavenger Hunt,Nintendo,132 KB,fType,https://vimm.net/vault/14,https://download2.vimm.net/download/?mediaId=14,dateF,dateL,False,False,rate,lPath,blah
Advanced Dungeons & Dragons: Dragons of Flame,Nintendo,102 KB,fType,https://vimm.net/vault/15,https://download2.vimm.net/download/?mediaId=15,dateF,dateL,False,False,rate,lPath,blah
Advanced Dungeons & Dragons: DragonStrike,Nintendo,170 KB,fType,https://vimm.net/vault/278,https://download2.vimm.net/download/?mediaId=278,dateF,dateL,False,False,rate,lPath,blah
Advanced Dungeons & Dragons: Heroes of the Lance,Nintendo,101 KB,fType,https://vimm.net/vault/17,https://download2.vimm.net/download/?mediaId=17,dateF,dateL,False,False,rate,lPath,blah
Advanced Dungeons & Dragons: Hillsfar,Nintendo,139 KB,fType,https://vimm.net/vault/18,https://download2.vimm.net/download/?mediaId=18,dateF,dateL,False,False,rate,lPath,blah
Advanced Dungeons & Dragons: Pool of Radiance,Nintendo,276 KB,fType,https://vimm.net/vault/19,https://download2.vimm.net/download/?mediaId=19,dateF,dateL,False,False,rate,lPath,blah
Adventure Island,Nintendo,39 KB,fType,https://vimm.net/vault/29,https://download2.vimm.net/download/?mediaId=29,dateF,dateL,False,False,rate,lPath,blah
Adventure Island 3,Nintendo,139 KB,fType,https://vimm.net/vault/31,https://download2.vimm.net/download/?mediaId=31,dateF,dateL,False,False,rate,lPath,blah
Adventure Island 4,Nintendo,178 KB,fType,https://vimm.net/vault/32,https://download2.vimm.net/download/?mediaId=32,dateF,dateL,False,False,rate,lPath,blah
Adventure Island II,Nintendo,126 KB,fType,https://vimm.net/vault/30,https://download2.vimm.net/download/?mediaId=30,dateF,dateL,False,False,rate,lPath,blah
