Name,Console,WebUrl,memorySize,Status
Abadox-The-Deadly-Inner-War,NES,https://vimm.net/vault/10,129 KB,check
Addams-Family-The,NES,https://vimm.net/vault/13,107 KB,check
Addams-Family-The-Pugsleys-Scavenger-Hunt,NES,https://vimm.net/vault/14,127 KB,check
Advanced-Dungeons-&-Dragons-Dragons-of-Flame,NES,https://vimm.net/vault/15,102 KB,check
Advanced-Dungeons-&-Dragons-DragonStrike,NES,https://vimm.net/vault/278,165 KB,check
Advanced-Dungeons-&-Dragons-Heroes-of-the-Lance,NES,https://vimm.net/vault/17,98 KB,check
Advanced-Dungeons-&-Dragons-Hillsfar,NES,https://vimm.net/vault/18,130 KB,check
Advanced-Dungeons-&-Dragons-Pool-of-Radiance,NES,https://vimm.net/vault/19,267 KB,check
Adventure-Island,NES,https://vimm.net/vault/29,38 KB,check
Adventure-Island-3,NES,https://vimm.net/vault/31,134 KB,check
Adventure-Island-4,NES,https://vimm.net/vault/32,178 KB,check
Adventure-Island-II,NES,https://vimm.net/vault/30,121 KB,check
Adventures-in-the-Magic-Kingdom,NES,https://vimm.net/vault/37,128 KB,check
Adventures-of-Bayou-Billy-The,NES,https://vimm.net/vault/21,137 KB,check
Adventures-of-Bayou-Billy-The--Virtual-Console-,NES,https://vimm.net/vault/75313,137 KB,check
Adventures-of-Dino-Riki,NES,https://vimm.net/vault/23,37 KB,check
Adventures-of-Gilligans-Island-The,NES,https://vimm.net/vault/368,65 KB,check
Adventures-of-Lolo,NES,https://vimm.net/vault/34,35 KB,check
Adventures-of-Lolo--Virtual-Console-,NES,https://vimm.net/vault/75317,35 KB,check
Adventures-of-Lolo-2,NES,https://vimm.net/vault/35,41 KB,check
Adventures-of-Lolo-2--Virtual-Console-,NES,https://vimm.net/vault/75322,41 KB,check
Adventures-of-Lolo-3,NES,https://vimm.net/vault/36,123 KB,check
Adventures-of-Musashi-The,NES,https://vimm.net/vault/24,130 KB,check
Adventures-of-Rad-Gravity-The,NES,https://vimm.net/vault/38,138 KB,check
Adventures-of-Rocky-and-Bullwinkle-and-Friends-The,NES,https://vimm.net/vault/26,90 KB,check
Adventures-of-Tom-Sawyer,NES,https://vimm.net/vault/39,108 KB,check
Adventures-of-Valecule-The,NES,https://vimm.net/vault/27,36 KB,check
Air-Fortress,NES,https://vimm.net/vault/41,81 KB,check
Airwolf,NES,https://vimm.net/vault/44,98 KB,check
Airwolf--Acclaim-,NES,https://vimm.net/vault/42,57 KB,check
Akumajou-Densetsu--Castlevania-Anniversary-Collection-,NES,https://vimm.net/vault/75340,235 KB,check
Akumajou-Dracula--Castlevania-Anniversary-Collection-,NES,https://vimm.net/vault/75343,63 KB,check
Akumajou-Special-Boku-Dracula-kun--Castlevania-Anniversary-Collection-,NES,https://vimm.net/vault/75344,139 KB,check
Akumajyou-Densetsu,NES,https://vimm.net/vault/45,244 KB,check
Al-Unser-Jr.-Turbo-Racing,NES,https://vimm.net/vault/52,92 KB,check
Alex-DeMeos-Race-America,NES,https://vimm.net/vault/679,90 KB,check
Alfred-Chicken,NES,https://vimm.net/vault/47,71 KB,check
Alien-3,NES,https://vimm.net/vault/48,77 KB,check
All-Pro-Basketball,NES,https://vimm.net/vault/50,91 KB,check
Alpha-Mission,NES,https://vimm.net/vault/51,30 KB,check
Altered-Beast,NES,https://vimm.net/vault/2864,110 KB,check
Amagon,NES,https://vimm.net/vault/53,69 KB,check
American-Dream,NES,https://vimm.net/vault/2866,100 KB,check
American-Gladiators,NES,https://vimm.net/vault/54,125 KB,check
Antarctic-Adventure,NES,https://vimm.net/vault/2868,20 KB,check
Anticipation,NES,https://vimm.net/vault/55,44 KB,check
Arch-Rivals-A-Basketbrawl!,NES,https://vimm.net/vault/57,67 KB,check
Archon,NES,https://vimm.net/vault/56,57 KB,check
Arkanoid,NES,https://vimm.net/vault/58,20 KB,check
Arkistas-Ring,NES,https://vimm.net/vault/59,36 KB,check
Armadillo,NES,https://vimm.net/vault/2870,384 KB,check
Armed-Dragon-Fantasy-Villgust,NES,https://vimm.net/vault/60,192 KB,check
Astro-Fang-Super-Machine,NES,https://vimm.net/vault/62,86 KB,check
Astyanax,NES,https://vimm.net/vault/64,132 KB,check
Athena,NES,https://vimm.net/vault/65,68 KB,check
Athletic-World,NES,https://vimm.net/vault/66,31 KB,check
Attack-Animal-Academy,NES,https://vimm.net/vault/67,52 KB,check
Attack-of-the-Killer-Tomatoes,NES,https://vimm.net/vault/69,111 KB,check
Back-to-the-Future,NES,https://vimm.net/vault/72,35 KB,check
Back-to-the-Future-Part-II-&-III,NES,https://vimm.net/vault/71,123 KB,check
Bad-Dudes,NES,https://vimm.net/vault/74,117 KB,check
Bad-News-Baseball,NES,https://vimm.net/vault/75,126 KB,check
Bad-Street-Brawler,NES,https://vimm.net/vault/73,75 KB,check
Balloon-Fight,NES,https://vimm.net/vault/76,16 KB,check
Balloon-Fight--e-Reader-Edition-,NES,https://vimm.net/vault/75458,16 KB,check
Banana-Prince,NES,https://vimm.net/vault/77,141 KB,check
Bandai-Golf-Challenge-Pebble-Beach,NES,https://vimm.net/vault/162,34 KB,check
Bandit-Kings-of-Ancient-China,NES,https://vimm.net/vault/79,185 KB,check
Barbie,NES,https://vimm.net/vault/80,105 KB,check
Bards-Tale-The,NES,https://vimm.net/vault/81,76 KB,check
Barker-Bills-Trick-Shooting,NES,https://vimm.net/vault/82,72 KB,check
Baseball,NES,https://vimm.net/vault/83,17 KB,check
Baseball--e-Reader-Edition-,NES,https://vimm.net/vault/75477,17 KB,check
Baseball--GameCube-Edition-,NES,https://vimm.net/vault/75475,17 KB,check
Baseball-Simulator-1.000,NES,https://vimm.net/vault/129,120 KB,check
Baseball-Simulator-1.000--Virtual-Console-,NES,https://vimm.net/vault/75479,120 KB,check
Baseball-Stars,NES,https://vimm.net/vault/130,122 KB,check
Baseball-Stars-II,NES,https://vimm.net/vault/131,146 KB,check
Bases-Loaded,NES,https://vimm.net/vault/84,117 KB,check
Bases-Loaded-3,NES,https://vimm.net/vault/86,147 KB,check
Bases-Loaded-4,NES,https://vimm.net/vault/87,154 KB,check
Bases-Loaded-II-Second-Season,NES,https://vimm.net/vault/85,138 KB,check
Batman-Returns,NES,https://vimm.net/vault/96,209 KB,check
Batman-Return-of-the-Joker,NES,https://vimm.net/vault/95,197 KB,check
Batman-The-Video-Game,NES,https://vimm.net/vault/94,147 KB,check
Battle-Chess,NES,https://vimm.net/vault/89,128 KB,check
Battle-of-Olympus-The,NES,https://vimm.net/vault/91,96 KB,check
BattleCity--Namcot-Collection-Namco-Museum-Archives-Vol-2-,NES,https://vimm.net/vault/75503,15 KB,check
Battleship,NES,https://vimm.net/vault/97,24 KB,check
Battletoads,NES,https://vimm.net/vault/93,181 KB,check
Battletoads-Double-Dragon,NES,https://vimm.net/vault/90,180 KB,check
Beetlejuice,NES,https://vimm.net/vault/99,94 KB,check
Best-of-the-Best-Championship-Karate,NES,https://vimm.net/vault/101,111 KB,check
Bigfoot,NES,https://vimm.net/vault/105,98 KB,check
Bill-&-Teds-Excellent-Video-Game-Adventure,NES,https://vimm.net/vault/108,121 KB,check
Bill-Elliotts-NASCAR-Challenge,NES,https://vimm.net/vault/100,152 KB,check
Bio-Miracle-Baby-Upa!!,NES,https://vimm.net/vault/109,76 KB,check
Bio-Warrior-Dan-The-Inkliezar-Battle,NES,https://vimm.net/vault/112,132 KB,check
Bionic-Commando,NES,https://vimm.net/vault/111,140 KB,check
Bionic-Commando--Capcom-Classics-Mini-Mix-,NES,https://vimm.net/vault/81265,141 KB,check
Black-Bass-The,NES,https://vimm.net/vault/116,60 KB,check
Blades-of-Steel,NES,https://vimm.net/vault/115,79 KB,check
Blades-of-Steel--Virtual-Console-,NES,https://vimm.net/vault/75542,79 KB,check
Blaster-Master,NES,https://vimm.net/vault/117,151 KB,check
Blaster-Master--Virtual-Console-,NES,https://vimm.net/vault/75547,151 KB,check
Blue-Marlin-The,NES,https://vimm.net/vault/118,102 KB,check
Blues-Brothers-The,NES,https://vimm.net/vault/119,57 KB,check
Bo-Jackson-Baseball,NES,https://vimm.net/vault/120,134 KB,check
Bomberman,NES,https://vimm.net/vault/121,16 KB,check
Bomberman-II,NES,https://vimm.net/vault/122,64 KB,check
Bonks-Adventure,NES,https://vimm.net/vault/123,139 KB,check
Boulder-Dash,NES,https://vimm.net/vault/124,35 KB,check
Bram-Stokers-Dracula,NES,https://vimm.net/vault/126,96 KB,check
Break-Time-The-National-Pool-Tour,NES,https://vimm.net/vault/128,71 KB,check
BreakThru,NES,https://vimm.net/vault/127,55 KB,check
Bubble-Bobble,NES,https://vimm.net/vault/132,47 KB,check
Bubble-Bobble--Virtual-Console-,NES,https://vimm.net/vault/75580,47 KB,check
Bubble-Bobble-Part-2,NES,https://vimm.net/vault/133,115 KB,check
Bucky-OHare,NES,https://vimm.net/vault/135,153 KB,check
Bugs-Bunny-Birthday-Blowout-The,NES,https://vimm.net/vault/136,115 KB,check
Bugs-Bunny-Crazy-Castle-The,NES,https://vimm.net/vault/138,34 KB,check
Bump-n-Jump,NES,https://vimm.net/vault/140,31 KB,check
Burai-Fighter,NES,https://vimm.net/vault/141,43 KB,check
BurgerTime,NES,https://vimm.net/vault/142,14 KB,check
Cabal,NES,https://vimm.net/vault/143,92 KB,check
Cadillac,NES,https://vimm.net/vault/2872,35 KB,check
Caesars-Palace,NES,https://vimm.net/vault/144,70 KB,check
California-Games,NES,https://vimm.net/vault/145,87 KB,check
Capcoms-Gold-Medal-Challenge-92,NES,https://vimm.net/vault/375,129 KB,check
Captain-America-and-the-Avengers,NES,https://vimm.net/vault/147,141 KB,check
Captain-Planet-and-the-Planeteers,NES,https://vimm.net/vault/148,129 KB,check
Captain-Silver,NES,https://vimm.net/vault/2874,140 KB,check
Captain-Skyhawk,NES,https://vimm.net/vault/149,75 KB,check
Captain-Tsubasa-Vol.-II-Super-Striker,NES,https://vimm.net/vault/2876,221 KB,check
Casino-Kid,NES,https://vimm.net/vault/151,60 KB,check
Casino-Kid-II,NES,https://vimm.net/vault/152,66 KB,check
Castelian,NES,https://vimm.net/vault/153,46 KB,check
Castle-of-Dragon,NES,https://vimm.net/vault/155,74 KB,check
Castle-Quest,NES,https://vimm.net/vault/2878,108 KB,check
Castlequest,NES,https://vimm.net/vault/156,36 KB,check
Castlevania,NES,https://vimm.net/vault/157,62 KB,check
Castlevania--Castlevania-Anniversary-Collection-,NES,https://vimm.net/vault/75620,62 KB,check
Castlevania--Virtual-Console-,NES,https://vimm.net/vault/75623,62 KB,check
Castlevania-II-Simons-Quest,NES,https://vimm.net/vault/159,73 KB,check
Castlevania-II-Simons-Quest--Castlevania-Anniversary-Collection-,NES,https://vimm.net/vault/75625,73 KB,check
Castlevania-III-Draculas-Curse,NES,https://vimm.net/vault/158,233 KB,check
Castlevania-III-Draculas-Curse--Castlevania-Anniversary-Collection-,NES,https://vimm.net/vault/75627,233 KB,check
Castlevania-III-Draculas-Curse--USA-Wii-Virtual-Console-Wii-U-Virtual-Console-,NES,https://vimm.net/vault/75630,233 KB,check
Caveman-Games,NES,https://vimm.net/vault/160,127 KB,check
Championship-Bowling,NES,https://vimm.net/vault/163,31 KB,check
Championship-Pool,NES,https://vimm.net/vault/174,67 KB,check
Chaos-World,NES,https://vimm.net/vault/165,205 KB,check
Chaos-World,NES,https://vimm.net/vault/166,205 KB,check
Chessmaster-The,NES,https://vimm.net/vault/168,46 KB,check
Chester-Field,NES,https://vimm.net/vault/169,80 KB,check
Chip-n-Dale-Rescue-Rangers,NES,https://vimm.net/vault/172,136 KB,check
Chip-n-Dale-Rescue-Rangers-2,NES,https://vimm.net/vault/173,130 KB,check
Choujin-Sentai-Jetman,NES,https://vimm.net/vault/175,120 KB,check
Chris-Evert-&-Ivan-Lendl-in-Top-Players-Tennis,NES,https://vimm.net/vault/301,124 KB,check
Chronicle-of-the-Radia-War,NES,https://vimm.net/vault/177,243 KB,check
Chubby-Cherub,NES,https://vimm.net/vault/179,23 KB,check
Chuuka-Taisen,NES,https://vimm.net/vault/180,81 KB,check
Circus-Caper,NES,https://vimm.net/vault/182,100 KB,check
City-Connection,NES,https://vimm.net/vault/183,26 KB,check
Clash-at-Demonhead,NES,https://vimm.net/vault/184,143 KB,check
